day,hour,ip,graph_type,colormap,marker,size,score
20170620,16:14:45,177.139.217.186,linearIncrease,Greys,v,300,-1
20170620,16:14:45,177.139.217.186,linearIncrease,Greys,^,300,1
20170620,16:14:50,177.139.217.186,linearIncrease,YlOrRd,v,750,1
20170620,16:14:50,177.139.217.186,linearIncrease,YlOrRd,v,300,-1
20170620,16:14:53,177.139.217.186,constant,GnBu,^,100,1
20170620,16:14:53,177.139.217.186,constant,GnBu,v,100,-1
20170620,16:14:56,177.139.217.186,constant,YlOrRd,^,100,1
20170620,16:14:56,177.139.217.186,constant,GnBu,^,100,-1
20170620,16:15:00,177.139.217.186,linearIncrease,GnBu,^,100,-1
20170620,16:15:00,177.139.217.186,linearIncrease,GnBu,^,750,1
20170620,16:15:04,177.139.217.186,constant,Greys,o,750,1
20170620,16:15:04,177.139.217.186,constant,Greys,^,750,-1
20170620,16:15:08,177.139.217.186,linearDecrease,YlOrRd,o,750,1
20170620,16:15:08,177.139.217.186,linearDecrease,GnBu,o,750,-1
20170620,16:15:10,177.139.217.186,linearIncrease,YlOrRd,^,750,1
20170620,16:15:10,177.139.217.186,linearIncrease,GnBu,^,750,-1
20170620,16:15:14,177.139.217.186,linearIncrease,GnBu,^,750,-1
20170620,16:15:14,177.139.217.186,linearIncrease,YlOrRd,^,750,1
20170620,16:15:17,177.139.217.186,linearDecrease,Greys,o,100,-1
20170620,16:15:17,177.139.217.186,linearDecrease,GnBu,o,100,1
20170620,16:17:57,177.139.217.186,linearDecrease,YlOrRd,^,100,1
20170620,16:17:57,177.139.217.186,linearDecrease,YlOrRd,v,100,-1
20170620,16:18:26,177.139.217.186,constant,YlOrRd,^,750,-1
20170620,16:18:26,177.139.217.186,constant,YlOrRd,^,300,1
20170620,16:18:34,177.139.217.186,linearIncrease,YlOrRd,v,750,1
20170620,16:18:34,177.139.217.186,linearIncrease,Greys,v,750,-1
20170620,16:19:11,177.139.217.186,constant,GnBu,v,750,-1
20170620,16:19:11,177.139.217.186,constant,GnBu,o,750,1
20170620,16:19:25,177.139.217.186,linearDecrease,YlOrRd,^,750,1
20170620,16:19:25,177.139.217.186,linearDecrease,YlOrRd,v,750,-1
20170620,16:19:57,177.139.217.186,linearIncrease,Greys,^,750,-1
20170620,16:19:57,177.139.217.186,linearIncrease,Greys,^,100,1
20170620,16:20:11,177.139.217.186,constant,GnBu,o,300,1
20170620,16:20:11,177.139.217.186,constant,YlOrRd,o,300,-1
20170620,16:20:21,177.139.217.186,linearIncrease,GnBu,o,300,-1
20170620,16:20:21,177.139.217.186,linearIncrease,GnBu,o,100,1
20170620,16:20:37,177.139.217.186,constant,Greys,^,750,-1
20170620,16:20:37,177.139.217.186,constant,Greys,o,750,1
20170620,16:20:44,177.139.217.186,linearIncrease,Greys,v,100,-1
20170620,16:20:44,177.139.217.186,linearIncrease,Greys,^,100,1
20170620,16:20:50,177.139.217.186,constant,GnBu,v,100,-1
20170620,16:20:50,177.139.217.186,constant,GnBu,v,300,1
20170620,16:21:05,177.139.217.186,linearDecrease,Greys,v,750,1
20170620,16:21:05,177.139.217.186,linearDecrease,Greys,v,100,-1
20170620,16:21:15,177.139.217.186,linearIncrease,Greys,o,750,-1
20170620,16:21:15,177.139.217.186,linearIncrease,Greys,o,100,1
20170620,16:21:22,177.139.217.186,linearDecrease,Greys,^,300,-1
20170620,16:21:22,177.139.217.186,linearDecrease,YlOrRd,^,300,1
20170620,16:21:31,177.139.217.186,linearIncrease,YlOrRd,o,300,-1
20170620,16:21:31,177.139.217.186,linearIncrease,YlOrRd,^,300,1
